Timestamp,Gas1,Gas2,Gas3,Gas4,Gas5
2025-05-22 12:50:48.442,36.4,36.6,36.8,472,325
2025-05-22 12:50:48.474,36.0,36.9,36.6,230,236
2025-05-22 12:50:49.438,37.7,36.0,37.5,277,283
2025-05-22 12:50:50.408,36.7,37.9,36.1,240,132
2025-05-22 12:50:51.409,36.7,36.7,36.4,321,210
2025-05-22 12:50:52.410,36.1,36.6,36.7,433,209
2025-05-22 12:50:53.411,37.9,37.0,37.7,411,402
2025-05-22 12:50:54.412,36.2,37.7,36.7,102,187
2025-05-22 12:50:55.413,37.0,37.8,37.0,434,377
2025-05-22 12:50:56.414,36.7,37.5,36.2,348,182
2025-05-22 12:50:57.459,37.2,37.6,37.1,140,108
2025-05-22 12:50:58.489,36.2,36.5,36.1,131,217
2025-05-22 12:50:59.417,36.5,36.6,36.4,204,449
2025-05-22 12:51:00.418,36.8,37.8,37.7,396,382
2025-05-22 12:51:01.419,37.2,37.0,36.3,134,234
2025-05-22 12:51:02.420,36.1,37.3,36.0,151,414
2025-05-22 12:51:03.421,36.6,36.5,37.2,406,185
2025-05-22 12:51:04.425,36.0,37.9,36.2,342,338
2025-05-22 12:51:05.480,37.7,36.2,37.9,458,263
2025-05-22 12:51:06.424,37.9,36.0,36.6,413,286
2025-05-22 12:51:07.426,36.6,36.7,37.4,417,417
2025-05-22 12:51:08.426,36.7,37.5,36.5,278,187
2025-05-22 12:51:09.428,36.5,36.7,37.3,314,228
2025-05-22 12:51:10.428,37.6,36.8,36.7,177,217
2025-05-22 12:51:11.512,36.5,37.9,37.2,238,289
2025-05-22 12:51:12.493,37.3,37.8,37.2,162,202
2025-05-22 12:51:13.431,36.6,36.3,37.0,389,192
2025-05-22 12:51:14.432,37.9,36.5,37.3,319,472
2025-05-22 12:51:15.433,37.5,37.9,36.3,377,482
2025-05-22 12:51:16.434,36.0,36.8,37.8,165,490
2025-05-22 12:51:17.435,37.1,37.6,37.6,208,357
